Version Number,1,,,,,,,,,
Block Format,1,,,,,,,,,
Number of Teams,24,,,,,,,,,
1606,Pirate Hogs,1,,,,,,,,
3007,Batteries,2,,,,,,,,
1585,SMS PUMAS 2,3,,,,,,,,
1439,Sea Urchins,4,,,,,,,,
1587,Sky Surfing Geeks,5,,,,,,,,
4419,TunaDudes,6,,,,,,,,
1617,Cool Cats,7,,,,,,,,
1596,RoboSharks,8,,,,,,,,
1601,Shmieglehumberflu,9,,,,,,,,
1,Stand-In 1,10,,,,,,,,
1492,SMS PUMAS,11,,,,,,,,
1608,The Right Angle,12,,,,,,,,
2338,Crazy Fishes,13,,,,,,,,
747,Hampstead Hackers,14,,,,,,,,
1778,Batteries Not Included,15,,,,,,,,
826,Engine Ears,16,,,,,,,,
487,Exotic Robotics,17,,,,,,,,
1588,Blue Dragons,18,,,,,,,,
1603,The Magigers,19,,,,,,,,
2168,DigiDudes,20,,,,,,,,
2809,Aqua Squad 9,21,,,,,,,,
3550,Londonderry Great White Sharks,22,,,,,,,,
3821,Aqua Divers,23,,,,,,,,
3,The NERDS,24,,,,,,,,
Block Format,2,,,,,,,,,
Number of Ranking Matches,36,,,,,,,,,
Number of Tables,2,,,,,,,,,
Number of Teams Per Table,2,,,,,,,,,
Number of Simultaneous Tables,1,,,,,,,,,
Table Names,Red,Blue,Green,Yellow,,,,,,
1,10:15:00 AM,10:18:00 AM,2809,1588,,,,,,
2,10:20:00 AM,10:23:00 AM,,,1596,487,,,,
3,10:25:00 AM,10:28:00 AM,1617,1603,,,,,,
4,10:30:00 AM,10:33:00 AM,,,1492,1601,,,,
5,10:35:00 AM,10:38:00 AM,747,2168,,,,,,
6,10:40:00 AM,10:43:00 AM,,,1,2338,,,,
7,10:45:00 AM,10:48:00 AM,3550,3,,,,,,
8,10:50:00 AM,10:53:00 AM,,,1439,4419,,,,
9,10:55:00 AM,10:58:00 AM,1608,1587,,,,,,
10,11:00:00 AM,11:03:00 AM,,,1585,3821,,,,
11,11:05:00 AM,11:08:00 AM,3007,826,,,,,,
12,11:10:00 AM,11:13:00 AM,,,1778,1606,,,,
13,11:15:00 AM,11:18:00 AM,1492,3550,,,,,,
14,11:20:00 AM,11:23:00 AM,,,3007,1603,,,,
15,11:25:00 AM,11:28:00 AM,1,826,,,,,,
16,11:30:00 AM,11:33:00 AM,,,487,1588,,,,
17,11:35:00 AM,11:38:00 AM,2338,2168,,,,,,
18,11:40:00 AM,11:43:00 AM,,,2809,1585,,,,
19,11:45:00 AM,11:48:00 AM,4419,1608,,,,,,
20,11:50:00 AM,11:53:00 AM,,,1601,3821,,,,
21,11:55:00 AM,11:58:00 AM,1617,1606,,,,,,
22,12:00:00 PM,12:03:00 PM,,,1439,747,,,,
23,12:05:00 PM,12:08:00 PM,1596,3,,,,,,
24,12:10:00 PM,12:13:00 PM,,,1778,1587,,,,
25,12:15:00 PM,12:18:00 PM,1606,1601,,,,,,
26,12:20:00 PM,12:23:00 PM,,,1608,1617,,,,
27,12:25:00 PM,12:28:00 PM,1603,1439,,,,,,
28,12:30:00 PM,12:33:00 PM,,,4419,1585,,,,
29,12:35:00 PM,12:38:00 PM,1587,1596,,,,,,
30,12:40:00 PM,12:43:00 PM,,,3821,1492,,,,
31,12:45:00 PM,12:48:00 PM,747,3007,,,,,,
32,12:50:00 PM,12:53:00 PM,,,2168,487,,,,
33,12:55:00 PM,12:58:00 PM,3550,1,,,,,,
34,1:00:00 PM,1:03:00 PM,,,826,2338,,,,
35,1:05:00 PM,1:08:00 PM,3,1778,,,,,,
36,1:10:00 PM,1:13:00 PM,,,1588,2809,,,,
Block Format,3,,,,,,,,,
Number of Judged Events,3,,,,,,,,,
Number of Event Time Slots,12,,,,,,,,,
Number of Judging Teams,2,,,,,,,,,
Event Name,Robot Judging,,,,,,,,,
Room Names,#NAME?,#NAME?,,,,,,,,
1,1:30:00 PM,1:40:00 PM,1606,2338,,,,,,
